IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
129.146.137.214,443,true,179ms,1.35MB/s,2603:c020:14:b39f:73e4:5573:620c:f17c,IPv6,LAX,US,North America,Los Angeles,AS31898,Oracle Corporation
130.61.187.66,443,true,194ms,1.32MB/s,130.61.187.66,IPv4,FRA,DE,Europe,Frankfurt,AS31898,Oracle Corporation
104.248.68.179,2087,true,172ms,1.19MB/s,2604:a880:2:d1:0:1:26b8:9001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
135.125.234.148,2053,true,197ms,1.14MB/s,135.125.234.148,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
129.226.196.72,443,true,95ms,1.03MB/s,240d:c000:1001:2bfe:0:9f21:3db6:b698,IPv6,SIN,SG,Asia Pacific,Singapore,AS132203,"Tencent Building, Kejizhongyi Avenue"
104.248.68.179,2083,true,157ms,0.91MB/s,2604:a880:2:d1:0:1:26b8:9001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
107.174.252.170,8443,true,174ms,0.87MB/s,107.174.252.170,IPv4,SJC,US,North America,San Jose,AS36352,HostPapa
103.152.113.60,8443,true,193ms,0.77MB/s,2602:feda:30:ae86:1000::ae86,IPv6,SJC,US,North America,San Jose,AS46997,Black Mesa Corporation
104.248.68.179,8443,true,163ms,0.74MB/s,2604:a880:2:d1:0:1:26b8:9001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
104.248.68.179,2053,true,160ms,0.74MB/s,2604:a880:2:d1:0:1:26b8:9001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
130.12.46.96,2053,true,196ms,0.68MB/s,2a0d:6c2:17:785::,IPv6,AMS,NL,Europe,Amsterdam,AS50053,Anton Levin
135.125.190.13,2053,true,195ms,0.65MB/s,135.125.190.13,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
104.248.68.179,2096,true,165ms,0.63MB/s,2604:a880:2:d1:0:1:26b8:9001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
135.125.190.13,8443,true,195ms,0.62MB/s,135.125.190.13,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
128.14.65.211,443,true,170ms,0.60MB/s,128.14.65.211,IPv4,LAX,US,North America,Los Angeles,AS21859,Zenlayer Inc
135.125.190.99,8443,true,186ms,0.57MB/s,135.125.190.99,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
135.125.133.217,2053,true,180ms,0.53MB/s,135.125.133.217,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
108.171.195.153,8443,true,170ms,0.53MB/s,2607:f2d8:6065:1124::a,IPv6,LAX,US,North America,Los Angeles,AS18450,"WebNX, Inc."
135.125.234.148,8443,true,180ms,0.51MB/s,135.125.234.148,IPv4,FRA,DE,Europe,Frankfurt,AS16276,OVH SAS
